Transactionid,Start,End,Latency,Iteration
0xbc4641ba9e83460515e6c67b69c7bfcb10189a7576c305e3e9a2853160f5dd46,1594748924,1594748925,1,1
0xf4249456fb3ef8a43ccee85cbc479e6cddf91b9fc6eaf809fecd458f08f5e07e,1594748924,1594748925,1,1
0xea43de8c7bfbd94e31b5e66179c1ea3b6297acbff2e18f0aecb5704f5c3cae6d,1594748925,1594748925,0,1
0x8d793e26795fa1ef0985e37e7770125ff2976d87947cef8539bcabc8f4a853e2,1594748924,1594748925,1,1
0x2a833b5aa1f823c1b3a2f787084cc7ccf918aedc729ddd973544ab2d3fe8e968,1594748924,1594748925,1,1
0xd7f71183ef47bf3f7b3793b2e2616947935f480a433ea2998a0661e2ea4bdd1f,1594748924,1594748925,1,1
0xc3385ba08978fa344fa020fafd6b20f01ed9da517f150f1ed00d0bbb58582d5b,1594748924,1594748925,1,1
0xe551e2aea7b2fd2670c589d980d538905c7f73da35ece866b4c0eefc88b987f3,1594748924,1594748925,1,1
0x33f81994b4717f256ec4811cd7f15d3777cb23a97c3fbd24e58081344576eb5d,1594748925,1594748925,0,1
0xb294b71af6317ae81e9f2c94a0f0470baf3a5a7b6a4ef5f756d16664597abb08,1594748924,1594748925,1,1
0x0652bde49da99f6be94c0979648f454032fc5c95c46cd258bd8db2c544781b98,1594748924,1594748925,1,1
0x0ed441072e2b711f0b87360db9aacfe3a4d0aad14b33886bd63e0c87b69bce60,1594748924,1594748925,1,1
0xf02db227a08c17f0d46368b4e5b345f65a542e8c57fb589fdaff365f3833a781,1594748925,1594748925,0,1
0xc697768779f197c3f7397ccb515f54f8a22616f3d95445d96bc0e9f66c39d7ec,1594748924,1594748925,1,1
0x10cc89fe210efc99efb74798a38ee7bf906d9a6c2c92f0a21ea0c55a5c30f20e,1594748924,1594748925,1,1
0x04d55688485669538ec0e47edb7e8819cff77bd5d46e12da509be3fc8732299c,1594748924,1594748925,1,1
0xd5b6990e8601061bc386775d728f564355bb315d858aea7d1f8cc95489848517,1594748924,1594748925,1,1
0x2c915f499efbf85a285c3dbe15eed48ebf30bc9a9d56671b2632124cf8620d76,1594748924,1594748925,1,1
0x704420ac9859b862c81c4b8a1a652fb675cf5b47850e2cac7b17f4f68c3a75ca,1594748924,1594748925,1,1
0x0d13631fa0f5be81605165ea7e67f5b1b574c4830bbdbc92e25c40dda6008c44,1594748925,1594748925,0,1
0x1ed033f6cf59c0e5aff326bff08abe132b594d361b30db282430ef2431ec1745,1594748924,1594748925,1,1
0xa0969f273160f2cd0ca13e51d4c8ab8ab158fec416e9a8542d6e2ac5c6451026,1594748924,1594748925,1,1
0x39bcd305cc20876e2913e82e8c514076d76c282ef6225c6e5ecd67af37183f7c,1594748924,1594748925,1,1
0x0b9bdd32ff3232c21088120b677db3079f86d68eae74eadaf5f692bf8f69df83,1594748924,1594748925,1,1
0xf60e08b957597e099bbde80b2e9b43222d1924f13f485f647661c9281d33889a,1594748924,1594748925,1,1
0x7b1fedb2a3b3f77e67dbb3bb54b97544cc81eb3e35ab5bc9e6b88728e3bb838b,1594748924,1594748925,1,1
0x176bc3341f86fff57cdfa52eff2001b61087e229a16405ceeef613342992488a,1594748924,1594748925,1,1
0x151bb04a3c6190d82f3fc950df718e984ff125f0196c54af51d57f4c25c6b250,1594748924,1594748925,1,1
